player_feb_id,player_name,pts,ast,trb,tov,usage_2p,usage_3p,pct_2p,pct_3p,pct_inside,oer,der,cluster
1042219,R. GUARDIA MARTI,2.333333333333333,0.6666666666666666,2.0,1.0,0.5388887389815245,0.4611109999074356,0.4999995833337083,0.0833333125000052,0.233333236666711,40.21317005673309,33333443.999839384,0
1068539,D. SANCHEZ MORDOS,7.916666666666667,1.25,4.5,1.0,0.350982810193602,0.6490170092731642,0.4027776083334433,0.3585315873758636,0.2834324859058995,94.10240813514056,8333435.428188044,1
1069568,M. BLANCH ESPINAL,10.285714285714286,0.7142857142857143,1.0,1.0,0.4644299569170678,0.535569913202515,0.6428568880954065,0.2785713669709145,0.3897958615257624,91.43104568439934,124.18623724084593,1
1074113,J. GALVE NAVARRO,7.333333333333333,2.1666666666666665,1.1666666666666667,0.8333333333333334,0.196428529974499,0.8035712779620479,0.2499997916668541,0.3888888092592767,0.1488094868433584,104.26149311353667,116.52550409228915,1
1074329,C. MARZO CHECA,7.333333333333333,4.0,3.6666666666666665,1.6666666666666667,0.5714284942051001,0.4285713655832798,0.6333331122223155,0.1666666250000104,0.555555475308654,93.30571515435744,141.555329394479,1
1079342,E. BLANCO VAZQUEZ,1.6666666666666667,0.0,1.0,0.0,0.3333332500000208,0.0,0.0833333125000052,0.0,0.3333332500000208,28.935180161716406,66666705.06662909,0
1081241,E. TEJERO CASASAYAS,12.666666666666666,1.5555555555555556,8.11111111111111,2.2222222222222223,0.5170012851470376,0.4829986314362407,0.4767916527441467,0.1564533985690844,0.3925070004659816,71.4746604263807,171.09403227395808,1
1081623,C. NADAL TRIOLA,1.875,0.25,0.25,0.125,0.2187498515626308,0.406249894270862,0.0,0.1583332905555678,0.0937499765625058,45.68013492399605,75000013.80555134,0
1083281,S. PARETS BARRIOS,13.25,2.5,4.875,3.25,0.6309788120330897,0.3690210651334017,0.5024800301772775,0.2553570869033579,0.5507725931460157,87.06214793205106,162.19597039952038,1
1083484,J. SERRA CASTILLO,10.75,1.75,6.625,1.875,0.7958465581225833,0.2041532870564122,0.4079860659963399,0.0669642727997475,0.6750799127377086,78.27553914004724,12500105.02450075,1
1098584,C. GABRIEL MORILLA,12.875,1.0,9.125,2.0,0.9457791158919912,0.0542207731367016,0.4434252744936253,0.0,0.9131942725501913,91.50989279920869,119.95096733219424,1
1098747,A. BOLLIIT AYLLON,3.0,0.0,2.0,0.0,0.0,0.99999950000025,0.0,0.499999750000125,0.0,149.99992500003748,66.66665555554076,0
1098747,A. BOLLIT AYLLON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0
1102434,O. GOMEZ BENITO,3.142857142857143,0.1428571428571428,1.8571428571428568,0.8571428571428571,0.7142853666668982,0.0,0.419047380317645,0.0,0.7142853392859665,66.95374653736611,42857211.10194392,0
1105280,E. MARTINEZ BALMASEDA,14.5,0.5,3.0,0.5,0.0277777762345679,0.9722221543209926,0.4999995000005,0.3014705674380061,0.0,90.1709344217989,117.22208545695672,1
1107308,I. RUBIO CASTILLO,2.9285714285714284,1.0,1.0714285714285714,0.4285714285714285,0.2206348091193531,0.7079362853252941,0.1785712678572946,0.2396257310370977,0.1660713253919491,84.85662576964732,7143025.666090822,0
1111986,F. POMARES ABREU,16.5,1.875,8.125,3.0,0.7102067433054045,0.2897931690534255,0.5715637704111802,0.0902777434413739,0.6050823566735972,85.08715039574935,120.6361455634896,1
1111987,M. POMARES ABREU,8.666666666666666,1.5,1.8333333333333333,1.1666666666666667,0.1919405060862338,0.8080593294570502,0.2291664739585117,0.3400131619989741,0.0653935091909414,86.03508686825002,8333465.809108976,1
1112614,J. DE BENITO FERREIRO,5.727272727272728,2.4545454545454546,2.363636363636364,1.9090909090909087,0.5845957847145757,0.4154039632653127,0.2515150673737678,0.359090736894058,0.4330806366969458,66.74430004567556,9091060.415187344,1
1113056,D. GUERRA TRUJILLO,6.75,1.8333333333333333,5.666666666666667,1.3333333333333333,0.7411043556451746,0.2588954440241848,0.5062829467123179,0.158333222500095,0.6340276383623044,89.5146594045247,8333450.055386639,1
1115021,E. VICENTE MENENDEZ,4.0,1.6666666666666667,1.3333333333333333,1.0,0.4841268432067798,0.5158727302061871,0.2749999137500313,0.2222220370372098,0.3194442303242557,47.195294816597766,50000063.49279359,0
1120000,D. BUSTO VERANO,5.6,0.4,1.8,1.6,0.6099998048334102,0.3899998585000598,0.6416662225698546,0.299999750000225,0.5428569224490825,81.37585868819461,20000091.199900065,1
1122204,S. ESTRADA SAN ANTOLIN,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8888881481488395,0.1111110740740864,0.4999995833337083,0.3333330000003333,0.8888881481488395,118.2129784674949,33333371.555555508,1
1129178,J. MARTINEZ BRUNO,12.166666666666666,2.9166666666666665,6.416666666666667,3.0,0.6958843746769388,0.3041155317023397,0.428189577466469,0.1986110520602052,0.6785037208916292,73.18969180026033,154.95367973858535,1
1131430,M. GONZALEZ-MONJE PEREZ,7.076923076923077,0.4615384615384615,2.4615384615384617,0.3846153846153846,0.3740841657482112,0.6259155700577347,0.378204941773627,0.3626372329932523,0.2718863729181073,125.71452079275778,122.14633833994436,1
1136683,G. PLANAS VALL-LLOSERA,4.888888888888889,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.2126983830272151,0.7873013454120829,0.4074071327162868,0.1716930849830019,0.1829364822689946,59.80883656111385,22222341.83938724,0
